REPORTDATE,OFFENSE_CODE,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,NEIGHBORHOOD_ID
6/16/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,northeast-park-hill
4/18/2012,2399,THEFT - OTHER,Larceny,cheesman-park
3/27/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,overland
5/13/2015,2508,FORGERY - POSSES FORGE DEVICE,All Other Crimes,five-points
12/18/2014,2203,BURGLARY - BUSINESS BY FORCE,Burglary,cole
6/30/2015,1205,ROBBERY - STREET,Robbery-Street-Res,cole
1/10/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,montbello
7/14/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,overland
5/15/2015,2605,THEFT - UNAUTH USE OF FTD,All Other Crimes,montbello
8/24/2015,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,city-park-west
5/6/2013,2203,BURGLARY - BUSINESS BY FORCE,Burglary,sun-valley
7/28/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
9/6/2012,1208,ROBBERY - RESIDENCE,Robbery-Street-Res,goldsmith
1/27/2015,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,north-park-hill
5/25/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
9/13/2015,2204,BURGLARY - RESIDENCE NO FORCE,Burglary,virginia-village
9/6/2015,1205,ROBBERY - STREET,Robbery-Street-Res,barnum-west
10/9/2012,1205,ROBBERY - STREET,Robbery-Street-Res,speer
7/25/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
6/25/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,overland
11/13/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,montclair
11/13/2015,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,montclair
11/30/2015,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,college-view-south-platte
7/18/2015,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,city-park-west
2/16/2014,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,jefferson-park
4/16/2012,1205,ROBBERY - STREET,Robbery-Street-Res,cbd
5/14/2012,1316,THREATS TO INJURE,All Other Crimes,elyria-swansea
7/22/2015,2399,THEFT - OTHER,Larceny,stapleton
1/27/2015,2399,THEFT - OTHER,Larceny,capitol-hill
4/26/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
6/29/2015,2399,THEFT - OTHER,Larceny,lincoln-park
1/18/2015,1316,THREATS TO INJURE,All Other Crimes,north-park-hill
3/30/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,speer
7/3/2015,2303,THEFT - SHOPLIFT,Larceny,platt-park
11/16/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,jefferson-park
5/17/2015,1205,ROBBERY - STREET,Robbery-Street-Res,whittier
11/22/2015,2205,BURGLARY - BUSINESS NO FORCE,Burglary,college-view-south-platte
1/19/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
9/3/2012,1202,ROBBERY - BUSINESS,Robbery-Business,barnum-west
8/13/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,college-view-south-platte
4/26/2016,2205,BURGLARY - BUSINESS NO FORCE,Burglary,washington-park-west
12/14/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
11/21/2015,5707,CRIMINAL TRESPASSING,All Other Crimes,athmar-park
8/6/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,overland
3/14/2013,2203,BURGLARY - BUSINESS BY FORCE,Burglary,five-points
1/8/2013,2203,BURGLARY - BUSINESS BY FORCE,Burglary,college-view-south-platte
8/8/2013,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,lincoln-park
1/29/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,washington-park-west
2/18/2016,1316,THREATS TO INJURE,All Other Crimes,baker
8/21/2013,7399,ACCESSORY/CONSPIRACY TO CRIME,All Other Crimes,rosedale
7/25/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,washington-virginia-vale
8/23/2016,2399,THEFT - OTHER,Larceny,barnum
11/13/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
7/23/2015,2303,THEFT - SHOPLIFT,Larceny,union-station
2/28/2012,2203,BURGLARY - BUSINESS BY FORCE,Burglary,college-view-south-platte
8/3/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
9/30/2015,3560,DRUG - MARIJUANA SELL,Drug Offenses,capitol-hill
9/26/2015,3560,DRUG - MARIJUANA SELL,Drug Offenses,capitol-hill
10/11/2015,5213,WEAPON- UNLAWFUL DISCHARGE OF,Weapons Offense,montbello
9/25/2015,3560,DRUG - MARIJUANA SELL,Drug Offenses,washington-park-west
6/21/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,sun-valley
7/7/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,mar-lee
8/22/2013,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
8/7/2015,1315,AGGRAVATED ASSAULT,Agg ASLT-Other,montclair
8/14/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,valverde
8/18/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,elyria-swansea
5/13/2016,2308,THEFT - FROM BLDG,Larceny,elyria-swansea
8/24/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,globeville
8/15/2016,2308,THEFT - FROM BLDG,Larceny,east-colfax
9/24/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,five-points
11/20/2015,1205,ROBBERY - STREET,Robbery-Street-Res,montbello
3/4/2016,3560,DRUG - MARIJUANA SELL,Drug Offenses,northeast-park-hill
4/21/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,globeville
7/29/2013,5312,DISTURBING THE PEACE,All Other Crimes,northeast-park-hill
3/3/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,athmar-park
8/14/2015,2203,BURGLARY - BUSINESS BY FORCE,Burglary,sun-valley
11/20/2015,2305,THEFT - ITEMS FROM VEHICLE,Theft from Motor Vehicle,highland
11/18/2013,2202,BURGLARY - RESIDENCE BY FORCE,Burglary,bear-valley
8/3/2014,2203,BURGLARY - BUSINESS BY FORCE,Burglary,college-view-south-platte
4/20/2012,2999,CRIMINAL MISCHIEF - OTHER,Criminal Mischief-Property,cheesman-park
5/26/2016,1315,AGGRAVATED ASSAULT,Agg ASLT-Other,cbd
8/2/2016,2203,BURGLARY - BUSINESS BY FORCE,Burglary,ruby-hill
3/28/2015,5707,CRIMINAL TRESPASSING,All Other Crimes,lincoln-park
